Title,Link,Summary
"«Аська» ушла: вдохновляемся фичами, ставшими базой в мессенджерах",https://habr.com/ru/companies/selectel/articles/850882/,"В конце июня остановил работу ICQ — мессенджер из нулевых, любимая многими «аська». В ней пользователи находили друзей по интересам, общались, когда на улице была непогода, и обменивались мемами еще до того, как это стало мейнстримом. Мы в Selectel решили поностальгировать и рассказать, чем нам запомнился мессенджер. Внутри — обзор шести классных фич, которые запали в душу нашим коллегам."
Как работает Agile в проектном бюро,https://habr.com/ru/articles/851104/,"Привет! Меня зовут Мария Болдырева, и я уже пять лет возглавляю проектное бюро WildTeam. До этого я работала главным конструктором в различных строительных компаниях. Ежедневно я сталкивалась с проблемами менеджмента в проектных компаниях и мечтала его изменить. В итоге взялась за дело и смогла, так что коллеги из отрасли смотрят на нас с завистью.Здесь рассказываю о своем опыте, команде, принципах, результатах и факапах.В прошлых колонках я говорила, как мы шли к новым принципам работы и Agile и к чему пришли. А сегодня расскажу, как мы функционируем и как Agile помогает добиваться успехов как командных, так и личных."
Вредные советы для пилота NGFW,https://habr.com/ru/companies/pt/articles/850446/,"«Встречают по одежке, провожают по уму» — гласит русская народная пословица. Мы осмелились переделать ее на свой лад: «NGFW встречают по маркетинговым материалам, а провожают… — стоп, а почему провожают? — … а покупают по результатам пилотного проекта!».Большинство продуктов для ИБ, прежде чем найти свое место в тернистой инфраструктуре, проходят этап тестирования на пилотном проекте. Чем продукт сложнее в исполнении и важнее для обеспечения информационной безопасности, тем тщательнее и ответственнее заказчики подходят к «пилоту». Как же провести пилотное тестирование NGFW? Пойдем от обратного и расскажем, как провести самый ужасный пилотный проект NGFW.😈 Вредные советы вы найдете в стишках, а под ними — вся правда."
Бром для полупроводников: краткий патентный анализ,https://habr.com/ru/companies/onlinepatent/articles/851100/,"Мы продолжаем рассказывать о различных химических веществах, их применении в электронике и, разумеется, патентом аспекте. На этот раз речь пойдет о броме."
Техношкола Wildberries: курсы «Data Science» и «Аналитика»,https://habr.com/ru/companies/wildberries/articles/851094/,В октябре 2024 стартует два потока Техношколы Wildberries: «Data Science» и «Аналитика». Это несколько месяцев погружения в работу крупнейшего маркетплейса России. Курсы пройдут в онлайн-формате с наставниками и реальными бизнес-задачами.
Этюд: использование метода покоординатного спуска для оптимизации параметров СУБД,https://habr.com/ru/articles/851092/,"Или путевые заметки по ходу решения задачи разработки методики подбора комбинации значений конфигурационных параметров СУБД для оптимизации производительности СУБД .В качестве начального примера, для отработки методики, выбраны настройки для процессов контрольной точки(checkpoint) и фоновой записи (bgwriter)В качестве метода оптимизации использован метод покоординатного спуска.Для получения значения производительности СУБД используется метрика Производительность СУБД — расчет метрики, временной анализ, параметрическая оптимизация / Хабр (habr.com)"
Как идеи Аристотеля применяются в GenAI? Разбираем вопросы этики ИИ в образовании и создаем философский чат-бот,https://habr.com/ru/companies/spbu/articles/851090/,"Учёные Лаборатории цифровой философии Санкт-Петербургского государственного университета на протяжении нескольких лет занимаются глубоким исследованием цифрового мира. Проект объединяет междисциплинарные исследования и занимается вопросами, которые задают философам представители цифровых технологий, статусом традиционных философских вопросов в сфере технологий и разработкой цифровых инструментов в изучении философии. Исследование генеративных нейронных сетей и их использование в педагогике вообще и в философии в частности – одна из сфер интересов учёных Лаборатории. Опыт применения этих сетей на семинарах показал ряд интересных особенностей использования GenAI (Generative Artificial Intelligence) в философии.Об этике применения генеративных нейронных сетей в образовании, а также о философском чат-боте рассказывает координатор семинара «Лаборатория цифровой философии» Дмитрий Ярочкин."
Зачем я использую контейнеры как виртуалки: опыт python-разработчика,https://habr.com/ru/companies/cloud_ru/articles/849986/,"Привет, я Денис, python-разработчик в Cloud.ru. Последние три года я работаю с продуктами на базе компонентов OpenStack — для этого нужны разнообразные навыки и знания способов администрирования и разработки в среде Linux. За это время я убедился — мне не хватает уже существующих способов отладки, доставки кода, подключения к prod- и dev-стендам. Поэтому решил придумать свой.Сейчас никого не удивишь контейнерами — они есть у большинства провайдеров, многие используют их для размещения приложений. Я же хотел попробовать другое применение, и, кажется, у меня все получилось. Теперь я ежедневно работаю в контейнерах — почти как в виртуалках. В статье расскажу, зачем это делаю, поделюсь своим подходом и стеком технологий, а также покажу, как настроить такое же решение у себя."
Синдром режимного объекта: как сделать удаленку безопасной без ущерба комфорту,https://habr.com/ru/companies/bastion/articles/850798/,"Удаленная работа — не просто тренд, но и вечная головная боль для безопасников и специалистов по персоналу. Многие сотрудники Бастиона работают удаленно, и мы на собственном опыте убедились, что защита информации в таких условиях — это комплексная задача, охватывающая технологии, корпоративную культуру и психологию сотрудников. Сегодня расскажем, как в Бастионе подходят к созданию безопасной и продуктивной рабочей среды для удаленщиков. Выясним, почему чрезмерный контроль может быть неэффективным, зачем безопасникам поддерживать командный дух, и почему важно защищать корпоративные данные без ущерба для удобства работы. В общем, посмотрим на проблему удаленки и с позиций HR, и с точки зрения ИБ."
Как и зачем мы в Fix Price разработали корпоративный UI-кит для наших бэк-офисных систем,https://habr.com/ru/companies/fix_price/articles/851082/,"Привет, Хабр! С вами Вадим Райский, руководитель IT-проектов Fix Price, и сегодня я расскажу вам, как и зачем мы разработали отдельный корпоративный UI-кит для наших бэк-офисных систем.В компании множество внутренних сервисов, и постоянно пишутся и планируются новые под различные бизнес-задачи. У части сервисов есть только api, другие имеют и клиентскую часть (фронт), которую далее мы и будем обсуждать. Разумеется, для разработки и поддержки сервисов требуется много людей. И всем понятно, что нет двух разработчиков, пишущих одинаково — каждый по-своему видит реализацию фронта. Но если каждый программист будет писать свою версию, это приведет к проблемам: например, увеличится время на разработку одного и того же функционала в разных сервисах, невозможно будет поменять функционал сразу в нескольких местах или же будет наблюдаться различное поведение в разных сервисах."
"Распределение IQ: как программисту выживать в мире, рассчитанном на дураков?",https://habr.com/ru/articles/850172/,"Вы наверняка часто ловили себя на мысли, что многие вещи в нашем мире устроены максимально нелогично, и, по-хорошему, должны были бы быть устроены совершенно по-другому. В философии эта проблема часто упоминается под названием ""сущее и должное"". И выходом из неё во многих случаях служит отнюдь не приведение сущего к должному, а понимание того, почему сущее такое, какое оно есть. Избавление от иллюзий должного и понимание причин сущего может сильно помочь вам в жизни, ведь работать вам предстоит с сущим, а не с фантазиями о должном. Да и когда фантазии о должном разбиваются о стену сущего, носителям этих фантазий бывает очень и очень больно. Наиболее действенным способом понимания сущего я считаю просмотр телевизионных передач про мир грызущих друг другу ради пропитания глотки диких животных, в котором без особого труда можно узнать мир человеческий. Но в этом посте не об этом. В этом посте я хочу рассмотреть вопрос, ответ на который, надеюсь, поможет вам понять, почему многие вещи в мире устроены так, как они устроены. Почему многие законы такие нелогичные? Почему идущие в кинотеатрах фильмы такие незамысловатые, а шедевры всегда проваливаются в прокате? Почему до сих пор так распространено мошенничество ""с безопасным счётом"", если о нём трындят на каждом шагу? Почему в США так важно кого на выборах поддержит Тейлор Свифт? Почему существует общество плоской Земли? Почему полиция работает так, как она работает? Причём я не буду прямо рассматривать ни один из этих вопросов, а рассмотрю только метавопрос, метаответ на который безмолвно отвечает на них все."
Компьютерное зрение на C++: пишем приложение для поиска объектов под Android,https://habr.com/ru/companies/yadro/articles/850786/,"Привет, Хабр! Меня зовут Кирилл Колодяжный, я пишу код на С++ для систем хранения данных в YADRO. Помимо основной работы, интересуюсь машинным обучением и его возможностями, в том числе на «плюсах». Недавно мне стало интересно разобраться, как развернуть модель компьютерного зрения на мобильном устройстве с операционной системой Android. Я изучил доступные инструменты, чтобы понять, какие части приложения можно реализовать на С++, и написать само приложение для телефона. Ни в одном из материалов на подобную тему не описывают реализацию такого приложения от начала до конца, поэтому я собрал свой опыт в серию статей.Расскажу, как реализовать обнаружение объектов в реальном времени с помощью камеры на мобильной платформе Android с использованием библиотек PyTorch и NCNN и моделей компьютерного зрения YOLOv5 и YOLOv4. Шаблон моего приложения пригодится тем, кто хочет проверить прототип функциональности для компьютерного зрения на С++, использующий OpenCV на Android, но не хочет глубоко погружаться в программирование под Android. В первой части цикла мы:• создадим проект в IDE Android Studio,• реализуем сессию непрерывного захвата изображений камеры,• преобразуем изображения в матрицу OpenCV, чтобы сделать дальнейшую работу удобной."
"Как понять, что на вашей команде дебафф по коммуникациям",https://habr.com/ru/companies/ru_mts/articles/851070/,"Привет, Хабр! Меня зовут Иван Мясников, я СТО продукта «Виртуальный ассистент» в МТС Диджитал. Сегодня подниму важную тему сбоя в коммуникациях внутри команд. По ней есть много хорошей литературы от профессиональных социологов и психологов. Они описывают, почему из-за проблем в общении становится сложно работать и падает продуктивность, как это увидеть и правильно действовать в сложившейся ситуации. За мои одиннадцать лет в разработке многие идеи из этих книг не раз помогали мне выстроить отношения с коллегами и наладить продуктивную работу. В этой статье я поделюсь краткой выжимкой из этих материалов и в конце дам небольшую подборку книг про общение внутри команд. Расскажу, на что обратить внимание, как вовремя распознать проблемы внутри команды и с чего начать действовать. В ваших руках — возможность предотвратить или уменьшить негативный эффект, сохранить команду и вернуть сотрудникам мотивацию."
Регуляторика РБПО. Часть 2 – Требования в финансовой отрасли,https://habr.com/ru/companies/swordfish_security/articles/851078/,"Всем привет!С вами Альбина Аскерова, руководитель направления по взаимодействию с регуляторами в Swordfish Security. Мы продолжаем цикл статей, посвященный регуляторике разработки безопасного ПО (РБПО).Первая статья об общих требованиях доступна по ссылке (там же можно увидеть, что планируется в следующих материалах). Сегодня пройдемся по требованиям к компаниям из финансовой отрасли.Напомню, мы рассматриваем всю регуляторику, которая касается ИБ и процесса безопасной разработки, а также ту, которую можно частично выполнить внедрением практик DevSecOps. Кратко не получится, так как у Банка России (БР) нашли 13 действующих документов!"
Как джуну повысить свои шансы на отклик от работодателя?,https://habr.com/ru/articles/850794/,"Это статья для людей, которые действительно любят и хотят развиваться в IT, а не для проходимцев, которых привлекают только высокие зарплаты. Прежде, чем джун получит оффер в IT компанию он проходит по так называемой воронке найма.   За долгие годы карьеры в IT я проходил эту воронку не один раз, как и десятки технических собеседований. Весь этот опыт и консультации с рекрутерами по поводу резюме и найма в IT в целом я решил изложить в виде практических советов как улучшить свое резюме и повысить шансы на получение оффера в IT для джунов."
"Скажем нет «Превращению», или анализ Kafka",https://habr.com/ru/companies/pvs-studio/articles/851066/,"Бывало ли вам интересно, какие баги может таить исходный код проектов, которыми пользуются большие компании по всему миру? Не упустите шанс познакомиться с интересными ошибками, которые нашёл статический анализатор PVS-Studio в исходном коде Open Source проекта Apache Kafka."
Искусство аугментации: как улучшить модели компьютерного зрения без сбора новых данных,https://habr.com/ru/companies/magnus-tech/articles/850070/,"Представьте, что вы разрабатываете модель компьютерного зрения для распознавания кошек на фотографиях. Чем больше разных фото кошек вы покажете модели, тем лучше она будет справляться с задачей. Но что делать, если у вас не хватает фотографий? Вы же не пойдете делать 10000 фотографий вашего питомца? На такой случай существует решение — метод аугментации данных.  Сегодня подробно разберемся в том, как работает аугментация: рассмотрим ее влияние на точность моделей, разберем основные методы и инструменты для ее реализации, обсудим лучшие практики и типичные ошибки при работе с этим методом. Надеемся, что наш материал будет полезен как начинающим специалистам, так и опытным практикам машинного обучения и компьютерного зрения."
Неизвестно полезный CSS. Часть 5,https://habr.com/ru/companies/ruvds/articles/849114/,"Привет, Хабр. Я продолжаю рассказывать про неизвестные широкому кругу разработчиков CSS-фишки. Я отбираю их так, чтобы они были полезны в разного рода проектах. Неважно, верстаете ли вы сайт для малого бизнеса или создаёте супермодное React-приложение. Они поддерживаются большинством браузеров. Отдельно отмечу, что я не считаю IE11 современным браузером. По этой причине я не учитывал его."
Bukva: алфавит русского жестового языка,https://habr.com/ru/companies/sberdevices/articles/850858/,"Всем привет!Недавно мы анонсировали словарь русского жестового языка (РЖЯ), а в этой статье поговорим про задачу распознавания алфавита РЖЯ, именуемого также дактильным алфавитом или дактилем. Предлагаем ознакомиться с нашей работой, в которой мы представим новый датасет Bukva — первый полноценный видеонабор данных для распознавания дактильной азбуки. Он содержит 3757 видеороликов с более чем 101 видео для каждой буквы дактиля, включая не только статические, но и динамические жесты. В статье расскажем, как мы собрали датасет для решения задачи и какие модели обучили в качестве бейзлайнов. Все данные и код открыты и доступны в репозитории команды."
Как спроектировать библиотеку для Spring Boot,https://habr.com/ru/companies/piter/articles/850820/,"Принцип DRY (Не повторяйся) – это важная составляющая цикла разработки программного обеспечения. Его цель – избежать ненужной повторяемости в коде. В частности, имеется множество приложений, которые могут находиться в составе одной и той же микросервисной архитектуры и использовать один и тот же компонент. В результате код становится неудобно поддерживать, поскольку всякий раз, когда требуется внести изменение в этот компонент, с каждым из этих приложений приходится разбираться отдельно.
В этой статье давайте рассмотрим, как можно вынести такие компоненты из приложений в отдельный модуль. Тем самым мы одновременно стремимся упростить поддержку кода и сократить в нём количество повторов."
Конфигурация закупок в SAP ERP,https://habr.com/ru/articles/851050/,"Внедрение корпоративных информационных систем позволяет автоматизировать большинство административно-хозяйственных операций предприятия. Класс системы, например, ERP, ERP2 или MRP, специфицирует бизнес-процессы, подлежащие автоматизации. Имплементация ERP-систем затрагивает две ключевые области деятельности компании: логистику и финансы. Причем специфика страны накладывает свой отпечаток: в Европе преимущественно акцент делается на логистических операциях, в России, напротив, – финансовых [1]. Для обеспечения эффективной работы ERP-системы необходимо обеспечить разумный баланс между логистическими и бухгалтерскими требованиями, их реализацией в программной системе.Процесс закупок относится к логистическим транзакциям и вносит свой вклад в реализацию непрерывного бизнес-процесса от потребности до списания. Определенные операции этого процесса имеют тесную интеграцию с финансовыми активностями, в частности, в момент приемки продукции на склад, а также при регистрации входящих счетов-фактур в информационной системе формируются бухгалтерские проводки. Тем самым автоматизация позволяет одновременно иметь отчетность по складским и бухгалтерским аналитикам.Следует отметить, что, несмотря на кажущуюся простоту закупок, процесс ее отражения в ERP-системе достаточно непрост. Существуют различные виды закупок, каждая их которых имеет свои отличительные особенности и требует уникальной реализации в программной системе [2]. Зачастую в проектах внедрения ERP-систем цепочки закупок имеют сложную реализацию из-за необходимости удовлетворения бухгалтерским требованиям. Давайте рассмотрим схемы закупок, точки интеграции с финансовыми операциями и найдем способ их отражения в ERP-системе."
